time,places,tweet
2023-02-10 00:26:03,,"#ใส่นัวแฟมิลี่ #HogwartLegacy #HRK ฝากไว้ให้น้อนๆดูนะค้าบบ เป็นกรณีศึกษา
แอคหลุม ปิดแอคหนี
ไม่ใช่ว่าตามไม่ได้นะค้าบ
#พี่เอก strike back time https://t.co/rHGlqpnPpq"
2023-02-09 18:06:20,,กูดีใจเเค่ไหนที่พี่เค้ามาสตรีม มาลงเกมส์สม่ำเสมออะ ไม่หายไปเเบบเมื่อก่อน มันดีมากเลยนะ ทำไมถึงต้องด่าพี่เขาขนาดนั้นอ่ะ คนเรามันก็มีเรื่องที่เราไม่รู้ป่ะ #พี่เอก
2023-02-09 15:05:19,Thailand,"ว้ายยย ฟังพี่เอกอยู่กรี้ดดเลยย ขอบคุณ คุณ yjwon ด้วยนะคะ 🤍

#hrk #ใส่นัวแฟมิลี่ #พี่เอก #JUNGWON #ENHYPEN https://t.co/ie9VZalT8U"
2023-02-09 13:31:41,* ไม่รับมัดจำ | full payment,อะติดแท็กเลยละกันเผื่อได้คำตอบ #พี่เอก #hrk #jk #เจเค https://t.co/kgdnlRO8ah
time,places,tweet
2023-02-12 13:12:21,,มะไหร่ #พี่เอก จะอัพแฮรี่พอตเตอร์🥲🥲🥲 รอที่ท่าน้ำทุกวันเลยย
2023-02-12 10:47:41,,ไม่รู้มีคนจำคลิปที่พี่เอกเล่นฟีฟายคลิปนี้ได้มั้ยที่พี่เอกบอกว่าชื่อจ๋อมและอยู่จังหวัดกำแพงเพชร ซึ่งเราก็ชื่อจ๋อมและอยู่จังหวัดกำแพงเพชรจริงๆ บังเอิญมาก ปล.คลิปนี้เราดูนานแล้วนะทำไว้นานแล้วด้วยพึ่งมาทวิตเพราะนั่งลบคลิปแล้วไปเจอเลยมาทวิตความบังเอิญที่พี่เอกพูดชื่อเรา #HRK #พี่เอก https://t.co/EGgerjeLpA
2023-02-12 06:23:02,,พี่เอกคะ ฟ้องพวกปากเหี้ยในเน็ตเสร็จแล้ว ต่อไปฟ้องพวกโหนพี่เอกแบบไม่ตรงประเด็นได้มั้ยคะ สนับสนุนค่ะ #พี่เอก #HRK https://t.co/SUfZDvz0qo
2023-02-10 06:39:44,"ชลบุรี, ประเทศไทย",คือขำความที่ด่าพี่เอกกันแต่ก็ปิดทวิตหนีพรึ่บคือคุณ5555 คุณเคยดูพี่เอกเล่นเกมไหมเคยมาเจออะไรรึยังถ้ายังก็อย่าด่าลอยๆสิหืม เค้าเล่นเกมสร้างความสุขความสนุกให้คนอื่นเยอะกว่าที่คุณคิดอีกนะขนาดเราเศร้าเบื่อๆดูไรก็ไม่สนุกไปหมดแต่ดูพี่เอกแล้วยังขำออกเลยแหกตาดูด้วย #พี่เอก #ใส่นัวแฟมิลี่
2023-02-10 05:08:28,"Bangkok, Thailand","พี่เอกไม่ยอมถูกแล้ว พี่เขาทนมาเยอะแล้วอะ
#พี่เอก"
2023-02-10 03:54:58,"กรุงเทพมหานคร, ประเทศไทย","ปล่อยเสื้อ HRK (2013)
ไซส์ M อก 19 ยาว 25.5
เป็นมือสอง สีเสื้อออกเฟดๆ ตำหนิด้ายรันตรงชายเสื้อด้านใน มีรอยตามรูปครับ
1600 บาท ส่งฟรีครับ

#ใส่นัวแฟมิลี่ #HRK #พี่เอก #HeartRocker https://t.co/N4eCyixc3c"
2023-02-10 03:45:30,,ดราม่า ‘พี่เอก’ HRK เล่นเกม ‘Hogwarts Legacy’ แต่โดนด่า จ่อฟ้องดำเนินคดี https://t.co/OezFsGQCJI #พี่เอก #พี่เอก #HRK #HogwartsLegacy #HeartRocker #โบ๊ะบ๊ะแฟมิลี่ #ข่าวบันเทิง #ใส่นัวแฟมิลี่
2023-02-10 00:26:03,,"#ใส่นัวแฟมิลี่ #HogwartLegacy #HRK ฝากไว้ให้น้อนๆดูนะค้าบบ เป็นกรณีศึกษา
แอคหลุม ปิดแอคหนี
ไม่ใช่ว่าตามไม่ได้นะค้าบ
#พี่เอก strike back time https://t.co/rHGlqpnPpq"
2023-02-09 18:06:20,,กูดีใจเเค่ไหนที่พี่เค้ามาสตรีม มาลงเกมส์สม่ำเสมออะ ไม่หายไปเเบบเมื่อก่อน มันดีมากเลยนะ ทำไมถึงต้องด่าพี่เขาขนาดนั้นอ่ะ คนเรามันก็มีเรื่องที่เราไม่รู้ป่ะ #พี่เอก
2023-02-09 15:05:19,Thailand,"ว้ายยย ฟังพี่เอกอยู่กรี้ดดเลยย ขอบคุณ คุณ yjwon ด้วยนะคะ 🤍

#hrk #ใส่นัวแฟมิลี่ #พี่เอก #JUNGWON #ENHYPEN https://t.co/ie9VZalT8U"
2023-02-09 13:31:41,* ไม่รับมัดจำ | full payment,อะติดแท็กเลยละกันเผื่อได้คำตอบ #พี่เอก #hrk #jk #เจเค https://t.co/kgdnlRO8ah
2023-02-12 13:12:21,,มะไหร่ #พี่เอก จะอัพแฮรี่พอตเตอร์🥲🥲🥲 รอที่ท่าน้ำทุกวันเลยย
2023-02-12 10:47:41,,ไม่รู้มีคนจำคลิปที่พี่เอกเล่นฟีฟายคลิปนี้ได้มั้ยที่พี่เอกบอกว่าชื่อจ๋อมและอยู่จังหวัดกำแพงเพชร ซึ่งเราก็ชื่อจ๋อมและอยู่จังหวัดกำแพงเพชรจริงๆ บังเอิญมาก ปล.คลิปนี้เราดูนานแล้วนะทำไว้นานแล้วด้วยพึ่งมาทวิตเพราะนั่งลบคลิปแล้วไปเจอเลยมาทวิตความบังเอิญที่พี่เอกพูดชื่อเรา #HRK #พี่เอก https://t.co/EGgerjeLpA
2023-02-12 06:23:02,,พี่เอกคะ ฟ้องพวกปากเหี้ยในเน็ตเสร็จแล้ว ต่อไปฟ้องพวกโหนพี่เอกแบบไม่ตรงประเด็นได้มั้ยคะ สนับสนุนค่ะ #พี่เอก #HRK https://t.co/SUfZDvz0qo
2023-02-10 06:39:44,"ชลบุรี, ประเทศไทย",คือขำความที่ด่าพี่เอกกันแต่ก็ปิดทวิตหนีพรึ่บคือคุณ5555 คุณเคยดูพี่เอกเล่นเกมไหมเคยมาเจออะไรรึยังถ้ายังก็อย่าด่าลอยๆสิหืม เค้าเล่นเกมสร้างความสุขความสนุกให้คนอื่นเยอะกว่าที่คุณคิดอีกนะขนาดเราเศร้าเบื่อๆดูไรก็ไม่สนุกไปหมดแต่ดูพี่เอกแล้วยังขำออกเลยแหกตาดูด้วย #พี่เอก #ใส่นัวแฟมิลี่
2023-02-10 05:08:28,"Bangkok, Thailand","พี่เอกไม่ยอมถูกแล้ว พี่เขาทนมาเยอะแล้วอะ
#พี่เอก"
2023-02-10 03:54:58,"กรุงเทพมหานคร, ประเทศไทย","ปล่อยเสื้อ HRK (2013)
ไซส์ M อก 19 ยาว 25.5
เป็นมือสอง สีเสื้อออกเฟดๆ ตำหนิด้ายรันตรงชายเสื้อด้านใน มีรอยตามรูปครับ
1600 บาท ส่งฟรีครับ

#ใส่นัวแฟมิลี่ #HRK #พี่เอก #HeartRocker https://t.co/N4eCyixc3c"
2023-02-10 03:45:30,,ดราม่า ‘พี่เอก’ HRK เล่นเกม ‘Hogwarts Legacy’ แต่โดนด่า จ่อฟ้องดำเนินคดี https://t.co/OezFsGQCJI #พี่เอก #พี่เอก #HRK #HogwartsLegacy #HeartRocker #โบ๊ะบ๊ะแฟมิลี่ #ข่าวบันเทิง #ใส่นัวแฟมิลี่
2023-02-10 00:26:03,,"#ใส่นัวแฟมิลี่ #HogwartLegacy #HRK ฝากไว้ให้น้อนๆดูนะค้าบบ เป็นกรณีศึกษา
แอคหลุม ปิดแอคหนี
ไม่ใช่ว่าตามไม่ได้นะค้าบ
#พี่เอก strike back time https://t.co/rHGlqpnPpq"
2023-02-09 18:06:20,,กูดีใจเเค่ไหนที่พี่เค้ามาสตรีม มาลงเกมส์สม่ำเสมออะ ไม่หายไปเเบบเมื่อก่อน มันดีมากเลยนะ ทำไมถึงต้องด่าพี่เขาขนาดนั้นอ่ะ คนเรามันก็มีเรื่องที่เราไม่รู้ป่ะ #พี่เอก
2023-02-09 15:05:19,Thailand,"ว้ายยย ฟังพี่เอกอยู่กรี้ดดเลยย ขอบคุณ คุณ yjwon ด้วยนะคะ 🤍

#hrk #ใส่นัวแฟมิลี่ #พี่เอก #JUNGWON #ENHYPEN https://t.co/ie9VZalT8U"
2023-02-09 13:31:41,* ไม่รับมัดจำ | full payment,อะติดแท็กเลยละกันเผื่อได้คำตอบ #พี่เอก #hrk #jk #เจเค https://t.co/kgdnlRO8ah
time,places,tweet
2023-02-07 16:22:06,"광야 , EXO PLANET",ขนาดพี่เอกยังมี Hogwarts legacy เลย แล้วทำไมเรายังไม่ซื้อคอมเล่นเกมอีก 55555555555 #HRK #พี่เอก
2023-02-07 16:22:06,"광야 , EXO PLANET",ขนาดพี่เอกยังมี Hogwarts legacy เลย แล้วทำไมเรายังไม่ซื้อคอมเล่นเกมอีก 55555555555 #HRK #พี่เอก
time,places,tweet
time,places,tweet
time,places,tweet
